date,sid,open,high,low,close,volume
2020-01-01,770,7195.24000000,7255.00000000,7175.15000000,7200.85000000,16792.38816500
2020-01-02,770,7200.77000000,7212.50000000,6924.74000000,6965.71000000,31951.48393200
2020-01-03,770,6965.49000000,7405.00000000,6871.04000000,7344.96000000,68428.50045100
2020-01-04,770,7345.00000000,7404.00000000,7272.21000000,7354.11000000,29987.97497700
2020-01-05,770,7354.19000000,7495.00000000,7318.00000000,7358.75000000,38331.08560400
2020-01-06,770,7357.64000000,7795.34000000,7346.76000000,7758.00000000,54635.69531600
2020-01-07,770,7758.90000000,8207.68000000,7723.71000000,8145.28000000,91171.68466100
2020-01-08,770,8145.92000000,8455.00000000,7870.00000000,8055.98000000,112622.64264000
2020-01-09,770,8054.72000000,8055.96000000,7750.00000000,7817.76000000,64239.51983000
2020-01-10,770,7817.74000000,8199.00000000,7672.00000000,8197.02000000,82406.77744800
2020-01-11,770,8198.86000000,8286.34000000,8003.16000000,8020.01000000,54810.03266700
2020-01-12,770,8020.01000000,8197.00000000,7960.00000000,8184.98000000,38131.49433600
2020-01-13,770,8184.97000000,8196.00000000,8055.89000000,8110.34000000,31159.75568300
2020-01-14,770,8110.34000000,8880.00000000,8105.54000000,8810.01000000,120399.12674200
2020-01-15,770,8814.64000000,8916.48000000,8564.00000000,8821.41000000,84816.29760600
